construction,Budget brand,hammer,16677.800000000003,407
electronics,Affordable brand,pioneer,3518332.879999998,43112
carriage,Affordable brand,rant,787663.7699999999,7221
"",Budget brand,kosmos,84.5,10
"",Budget brand,kompasgid,182.05,14
environment,Affordable brand,hyundai,962771.2900000009,9515
"",Budget brand,tp-link,1883316.669999998,51305
desktop,Affordable brand,asrock,71364.69000000002,304
cooler,Budget brand,mam,4010.73,61
carriage,High-end brand,dsland,1440091.8699999994,2505
shoes,Budget brand,tamaris,991052.4799999996,12746
coffee_machine,Affordable brand,tefal,8779.180000000002,150
apparel,Affordable brand,indigo,36127.56000000001,861
"",Mid-range brand,vossen,769259.8799999999,1998
kitchen,Affordable brand,glamvers,2734.55,25
headphone,Budget brand,global,6403.35,906
"",Budget brand,kipsta,9327.170000000002,257
"",Budget brand,erismann,2148.0,138
"",High-end brand,booil,39460.76999999999,42
scales,Affordable brand,artel,627.12,26
"",Budget brand,doliva,8654.480000000001,799
"",Mid-range brand,peavey,408214.54999999993,1947
smartphone,Affordable brand,leagoo,31418.21,210
"",Affordable brand,casamorati,19820.5,70
"",Budget brand,qazaqkhan,16586.050000000003,323
"",Affordable brand,dulevskijfarfor,88198.22000000002,771
"",Budget brand,riche,18378.20999999999,660
electronics,Budget brand,hercules,2702.999999999999,50
"",High-end brand,arba,1402.87,1
computers,Affordable brand,mebelson,107460.52,931
"",Budget brand,ceriotti,2345.1700000000005,33
drill,Budget brand,ivt,140858.12999999998,3585
"",Budget brand,lunkerhunt,813.5999999999999,72
monitor,High-end brand,dell,1945476.1300000001,3478
"",High-end brand,omabelle,5.75728296099997E7,28915
appliances,Mid-range brand,flavia,593499.32,1830
refrigerators,High-end brand,dunavox,96593.88999999998,122
fryer,Budget brand,clatronic,4862.5499999999965,105
components,Mid-range brand,intel,1.6982640210000012E7,52888
bag,Budget brand,luris,981.74,35
compressor,Budget brand,autoprofi,98053.60000000002,1852
"",Budget brand,llocker,3308.2000000000003,119
components,Budget brand,neptun,6198.120000000001,306
"",High-end brand,lifegear,513.01,1
electronics,Mid-range brand,fly,212305.83000000013,7478
photo,Budget brand,sigma,32624.309999999998,53
"",Affordable brand,roncato,1552780.6800000002,4602
cpu,,"",0.0,51
accessories,High-end brand,dell,39977.439999999995,840
"",Budget brand,tytan,891.0400000000001,228
sport,Affordable brand,atomic,192448.52000000005,433
environment,Affordable brand,master,195939.21000000002,893
mouse,Budget brand,redragon,51681.16999999998,2807
water_heater,Budget brand,aquaverso,2249.1699999999996,23
accessories,Budget brand,hama,18307.380000000005,1047
"",Budget brand,akvalinia,2007.7499999999998,32
drill,Mid-range brand,hp,4910.91,34
furniture,High-end brand,sharking,186345.52000000014,349
apparel,High-end brand,mima,1981.9800000000005,11
"",Budget brand,welss,307064.41999999975,4929
camera,Budget brand,bluesonic,11106.850000000006,125
furniture,Mid-range brand,imperial,1643687.7999999986,6901
microwave,Mid-range brand,zanussi,12158.46,36
belt,Budget brand,tonybellucci,15907.320000000002,618
electronics,Affordable brand,pro-karaoke,347229.5200000001,1398
snowboard,Mid-range brand,gnu,25005.77999999999,54
faucet,High-end brand,smeg,404316.4500000002,647
construction,Budget brand,graphite,66864.96999999997,647
"",Budget brand,bourjois,71717.55,7858
chair,Affordable brand,hauck,16763.089999999997,94
computers,Budget brand,canyon,19039.110000000004,2678
ski,High-end brand,stockli,344074.92000000004,305
kids,Affordable brand,chicco,2834044.759999999,25584
headphone,Budget brand,hercules,2702.999999999999,50
scales,Budget brand,lumme,1301.9400000000007,66
vacuum,Budget brand,centek,13150.009999999998,305
oven,Affordable brand,midea,1827128.4199999976,7108
"",Affordable brand,bekzatsport,18597.899999999994,75
drill,Budget brand,oasis,22639.509999999995,560
"",Budget brand,caramelia,532463.689999999,16673
accessories,Budget brand,deluxe,68486.99000000006,2912
"",Budget brand,aleteja,63.0,4
tools,Budget brand,energolux,19193.009999999995,229
"",Budget brand,foryou,200.84,4
"",Mid-range brand,engenius,89734.13999999997,229
"",Budget brand,monsterjam,12541.439999999999,384
"",Budget brand,gammapiu,128.28,2
"",Budget brand,glimmeies,1008.0000000000002,74
"",Mid-range brand,moongmbh,1218.8400000000001,19
hair_cutter,Budget brand,vitek,137759.98000000004,7157
desktop,Budget brand,logitech,349433.42999999993,1471
kids,Budget brand,kroskaa,1446.3699999999997,38
ballet_shoes,Budget brand,rieker,2706.1100000000006,73
kids,Budget brand,imctoys,2201.3899999999994,29
accessories,Affordable brand,avis,197979.33999999994,1350
headphone,Mid-range brand,yamaha,66926.31000000001,673
sofa,High-end brand,embawood,4092.65,5
kitchen,Affordable brand,barty,20731.339999999993,470
scales,Budget brand,vitek,33119.69000000002,2230
"",Budget brand,crowdgames,759.4799999999999,15
hair_cutter,Affordable brand,jaguar,34927.34999999999,209
smartphone,Affordable brand,doogee,2857860.090000002,21559
computers,Budget brand,seagate,1046087.4299999997,10959
"",Affordable brand,kenwood,2.062505538000009E7,43426
music_tools,High-end brand,medeli,337676.5399999999,1362
accessories,Budget brand,baden,661995.3200000002,16470
"",Mid-range brand,housefit,3749676.5300000007,15354
clocks,High-end brand,mido,1740450.45,1624
computers,Mid-range brand,kyocera,77985.89000000003,193
apparel,Affordable brand,ara,210511.33000000005,1572
toys,Budget brand,potatohead,810.4599999999999,14
"",Affordable brand,mastercraft,21283.12,170
furniture,Affordable brand,kolo,112716.90000000002,640
electronics,Affordable brand,changhong,6820794.859999977,28155
music_tools,Mid-range brand,yamaha,7449454.059999983,20586
welding,Affordable brand,kaierda,13856.0,56
sewing_machine,Affordable brand,singer,630700.7100000002,2899
"",Budget brand,lysvenskieemali,8545.230000000003,164
blender,Affordable brand,philips,1725366.399999997,16324
toilet,Affordable brand,kirovit,6631.319999999999,47
"",Budget brand,ecolaboratorie,90.16000000000001,30
power_supply,Affordable brand,huntkey,72146.46,1578
"",Mid-range brand,triton,1930797.710000001,4994
computers,Mid-range brand,his,50667.23000000001,102
"",Budget brand,cocochoco,5452.229999999999,278
"",Budget brand,rdx,3872.1800000000003,61
"",Budget brand,chub,106795.26,2766
"",Budget brand,kursiv,126.14,14
tools,Budget brand,csmedica,15441.560000000003,508
toys,Affordable brand,spinmaster,1653.18,22
audio,Affordable brand,energysistem,28293.420000000006,225
